case_id	target_type	status	token_hex	expected_kind	expected_negative_zero	expected_status	expected_reason	expected_value	expected_bits_hex
u64_empty	UINT64	CONFORMANCE	-	INVALID	false	INVALID_TOKEN	INVALID_TOKEN	-	-
u64_zero	UINT64	CONFORMANCE	30	UNSIGNED_INTEGER	false	OK	NONE	0	-
u64_negative_zero	UINT64	CONFORMANCE	2D30	SIGNED_INTEGER	true	OUT_OF_RANGE	NEGATIVE_TOKEN_FOR_UNSIGNED	-	-
u64_one	UINT64	CONFORMANCE	31	UNSIGNED_INTEGER	false	OK	NONE	1	-
u64_2pow53_minus	UINT64	CONFORMANCE	39303037313939323534373430393931	UNSIGNED_INTEGER	false	OK	NONE	9007199254740991	-
u64_2pow53	UINT64	CONFORMANCE	39303037313939323534373430393932	UNSIGNED_INTEGER	false	OK	NONE	9007199254740992	-
u64_2pow53_plus	UINT64	CONFORMANCE	39303037313939323534373430393933	UNSIGNED_INTEGER	false	OK	NONE	9007199254740993	-
u64_max_minus_one	UINT64	CONFORMANCE	3138343436373434303733373039353531363134	UNSIGNED_INTEGER	false	OK	NONE	18446744073709551614	-
u64_max	UINT64	CONFORMANCE	3138343436373434303733373039353531363135	UNSIGNED_INTEGER	false	OK	NONE	18446744073709551615	-
u64_overflow_one	UINT64	CONFORMANCE	3138343436373434303733373039353531363136	UNSIGNED_INTEGER	false	OUT_OF_RANGE	INTEGER_OUT_OF_RANGE	-	-
u64_huge	UINT64	CONFORMANCE	39393939393939393939393939393939393939393939393939393939393939393939393939393939	UNSIGNED_INTEGER	false	OUT_OF_RANGE	INTEGER_OUT_OF_RANGE	-	-
u64_overflow_suffix	UINT64	CONFORMANCE	313834343637343430373337303935353136313678	INVALID	false	INVALID_TOKEN	INVALID_TOKEN	-	-
u64_overflow_real	UINT64	CONFORMANCE	31383434363734343037333730393535313631362E30	REAL	false	NOT_INTEGER	NOT_INTEGER	-	-
u64_negative_one	UINT64	CONFORMANCE	2D31	SIGNED_INTEGER	false	OUT_OF_RANGE	NEGATIVE_TOKEN_FOR_UNSIGNED	-	-
