case_id	rule_id	suite	status	input_hex	limits_id	expected_code	target_code	target_lock_candidate	pointer_assertion	pointer_utf8_hex	offset_assertion	offset_kind	offset_value	expected_input_size
valid_negative_zero_integer	SJ-NUM-008	TOKEN_PROFILE	CHARACTERIZATION	7B22736368656D615F76657273696F6E223A22302E31222C2270726F746F636F6C5F6964223A2270726F6265222C22627974655F6F6666736574223A2D302C226D65737361676573223A5B5D7D	spike_default	OK	INTEGER_OUT_OF_RANGE	yyjson	IGNORE	-	ABSENT	NONE	-	77
valid_uint64_max	SJ-NUM-002	TOKEN_PROFILE	CONFORMANCE	7B22736368656D615F76657273696F6E223A22302E31222C2270726F746F636F6C5F6964223A2270726F6265222C22627974655F6F6666736574223A31383434363734343037333730393535313631352C226D65737361676573223A5B5D7D	spike_default	OK	-	-	ABSENT	-	ABSENT	NONE	-	95
float_for_integer	SJ-NUM-003	TOKEN_PROFILE	CONFORMANCE	7B22736368656D615F76657273696F6E223A22302E31222C2270726F746F636F6C5F6964223A2270726F6265222C22627974655F6F6666736574223A312E302C226D65737361676573223A5B5D7D	spike_default	INTEGER_NOT_EXACT	-	-	EXACT	2F627974655F6F6666736574	ABSENT	NONE	-	78
zero_float_for_integer	SJ-NUM-003	TOKEN_PROFILE	CONFORMANCE	7B22736368656D615F76657273696F6E223A22302E31222C2270726F746F636F6C5F6964223A2270726F6265222C22627974655F6F6666736574223A302E302C226D65737361676573223A5B5D7D	spike_default	INTEGER_NOT_EXACT	-	-	EXACT	2F627974655F6F6666736574	ABSENT	NONE	-	78
negative_zero_float_for_integer	SJ-NUM-003	TOKEN_PROFILE	CONFORMANCE	7B22736368656D615F76657273696F6E223A22302E31222C2270726F746F636F6C5F6964223A2270726F6265222C22627974655F6F6666736574223A2D302E302C226D65737361676573223A5B5D7D	spike_default	INTEGER_NOT_EXACT	-	-	EXACT	2F627974655F6F6666736574	ABSENT	NONE	-	79
exponent_for_integer	SJ-NUM-003	TOKEN_PROFILE	CONFORMANCE	7B22736368656D615F76657273696F6E223A22302E31222C2270726F746F636F6C5F6964223A2270726F6265222C22627974655F6F6666736574223A3165302C226D65737361676573223A5B5D7D	spike_default	INTEGER_NOT_EXACT	-	-	EXACT	2F627974655F6F6666736574	ABSENT	NONE	-	78
zero_exponent_for_integer	SJ-NUM-003	TOKEN_PROFILE	CONFORMANCE	7B22736368656D615F76657273696F6E223A22302E31222C2270726F746F636F6C5F6964223A2270726F6265222C22627974655F6F6666736574223A3065302C226D65737361676573223A5B5D7D	spike_default	INTEGER_NOT_EXACT	-	-	EXACT	2F627974655F6F6666736574	ABSENT	NONE	-	78
uppercase_exponent_for_integer	SJ-NUM-003	TOKEN_PROFILE	CONFORMANCE	7B22736368656D615F76657273696F6E223A22302E31222C2270726F746F636F6C5F6964223A2270726F6265222C22627974655F6F6666736574223A31452B302C226D65737361676573223A5B5D7D	spike_default	INTEGER_NOT_EXACT	-	-	EXACT	2F627974655F6F6666736574	ABSENT	NONE	-	79
uint64_overflow	SJ-NUM-004	TOKEN_PROFILE	CHARACTERIZATION	7B22736368656D615F76657273696F6E223A22302E31222C2270726F746F636F6C5F6964223A2270726F6265222C22627974655F6F6666736574223A31383434363734343037333730393535313631362C226D65737361676573223A5B5D7D	spike_default	INTEGER_NOT_EXACT	INTEGER_OUT_OF_RANGE	yyjson	EXACT	2F627974655F6F6666736574	ABSENT	NONE	-	95
negative_unsigned	SJ-NUM-005	TOKEN_PROFILE	CONFORMANCE	7B22736368656D615F76657273696F6E223A22302E31222C2270726F746F636F6C5F6964223A2270726F6265222C22627974655F6F6666736574223A2D312C226D65737361676573223A5B5D7D	spike_default	INTEGER_OUT_OF_RANGE	-	-	EXACT	2F627974655F6F6666736574	ABSENT	NONE	-	77
valid_int64_min	SJ-NUM-006	TOKEN_PROFILE	CONFORMANCE	7B22736368656D615F76657273696F6E223A22302E31222C2270726F746F636F6C5F6964223A2270726F6265222C22627974655F6F6666736574223A312C226D65737361676573223A5B5D2C2270726F62655F696E743634223A2D393232333337323033363835343737353830387D	spike_default	OK	-	-	ABSENT	-	ABSENT	NONE	-	111
valid_int64_max	SJ-NUM-006	TOKEN_PROFILE	CONFORMANCE	7B22736368656D615F76657273696F6E223A22302E31222C2270726F746F636F6C5F6964223A2270726F6265222C22627974655F6F6666736574223A312C226D65737361676573223A5B5D2C2270726F62655F696E743634223A393232333337323033363835343737353830377D	spike_default	OK	-	-	ABSENT	-	ABSENT	NONE	-	110
int64_overflow	SJ-NUM-007	TOKEN_PROFILE	CONFORMANCE	7B22736368656D615F76657273696F6E223A22302E31222C2270726F746F636F6C5F6964223A2270726F6265222C22627974655F6F6666736574223A312C226D65737361676573223A5B5D2C2270726F62655F696E743634223A393232333337323033363835343737353830387D	spike_default	INTEGER_OUT_OF_RANGE	-	-	EXACT	2F70726F62655F696E743634	ABSENT	NONE	-	110
int64_underflow	SJ-NUM-007	TOKEN_PROFILE	CHARACTERIZATION	7B22736368656D615F76657273696F6E223A22302E31222C2270726F746F636F6C5F6964223A2270726F6265222C22627974655F6F6666736574223A312C226D65737361676573223A5B5D2C2270726F62655F696E743634223A2D393232333337323033363835343737353830397D	spike_default	INTEGER_NOT_EXACT	INTEGER_OUT_OF_RANGE	yyjson	EXACT	2F70726F62655F696E743634	ABSENT	NONE	-	111
empty	SJ-SYNTAX-001	STRICT_SYNTAX	CONFORMANCE	-	spike_default	SYNTAX_ERROR	-	-	ABSENT	-	KIND_ONLY	PARSER_REPORTED_POSITION	-	0
whitespace_only	SJ-SYNTAX-001	STRICT_SYNTAX	CONFORMANCE	200D0A09	spike_default	SYNTAX_ERROR	-	-	ABSENT	-	KIND_ONLY	PARSER_REPORTED_POSITION	-	4
bom	SJ-ENC-001	ENCODING_PREFLIGHT	CONFORMANCE	EFBBBF7B22736368656D615F76657273696F6E223A22302E31222C2270726F746F636F6C5F6964223A2270726F6265222C22627974655F6F6666736574223A312C226D65737361676573223A5B5D7D	spike_default	BOM_NOT_ALLOWED	-	-	ABSENT	-	EXACT	EXACT_INPUT_BYTE	0	79
invalid_utf8	SJ-ENC-002	ENCODING_PREFLIGHT	CONFORMANCE	7B22736368656D615F76657273696F6E223A22302E31222C2270726F746F636F6C5F6964223A22C328222C22627974655F6F6666736574223A312C226D65737361676573223A5B5D7D	spike_default	INVALID_UTF8	-	-	ABSENT	-	EXACT	EXACT_INPUT_BYTE	40	73
truncated_utf8	SJ-ENC-002	ENCODING_PREFLIGHT	CONFORMANCE	7B22736368656D615F76657273696F6E223A22302E31222C2270726F746F636F6C5F6964223A22E282	spike_default	INVALID_UTF8	-	-	ABSENT	-	EXACT	EXACT_INPUT_BYTE	39	41
overlong_utf8	SJ-ENC-002	ENCODING_PREFLIGHT	CONFORMANCE	7B22736368656D615F76657273696F6E223A22302E31222C2270726F746F636F6C5F6964223A22C0AF222C22627974655F6F6666736574223A312C226D65737361676573223A5B5D7D	spike_default	INVALID_UTF8	-	-	ABSENT	-	EXACT	EXACT_INPUT_BYTE	39	73
stray_utf8_continuation	SJ-ENC-002	ENCODING_PREFLIGHT	CONFORMANCE	7B22736368656D615F76657273696F6E223A22302E31222C2270726F746F636F6C5F6964223A2280222C22627974655F6F6666736574223A312C226D65737361676573223A5B5D7D	spike_default	INVALID_UTF8	-	-	ABSENT	-	EXACT	EXACT_INPUT_BYTE	39	72
utf8_encoded_surrogate	SJ-ENC-002	ENCODING_PREFLIGHT	CONFORMANCE	7B22736368656D615F76657273696F6E223A22302E31222C2270726F746F636F6C5F6964223A22EDA080222C22627974655F6F6666736574223A312C226D65737361676573223A5B5D7D	spike_default	INVALID_UTF8	-	-	ABSENT	-	EXACT	EXACT_INPUT_BYTE	39	74
utf8_above_unicode_max	SJ-ENC-002	ENCODING_PREFLIGHT	CONFORMANCE	7B22736368656D615F76657273696F6E223A22302E31222C2270726F746F636F6C5F6964223A22F4908080222C22627974655F6F6666736574223A312C226D65737361676573223A5B5D7D	spike_default	INVALID_UTF8	-	-	ABSENT	-	EXACT	EXACT_INPUT_BYTE	39	75
legacy_five_byte_utf8	SJ-ENC-002	ENCODING_PREFLIGHT	CONFORMANCE	7B22736368656D615F76657273696F6E223A22302E31222C2270726F746F636F6C5F6964223A22F888808080222C22627974655F6F6666736574223A312C226D65737361676573223A5B5D7D	spike_default	INVALID_UTF8	-	-	ABSENT	-	EXACT	EXACT_INPUT_BYTE	39	76
utf16_little_endian	SJ-ENC-003	ENCODING_PREFLIGHT	CONFORMANCE	FFFE7B00	spike_default	INVALID_UTF8	-	-	ABSENT	-	EXACT	EXACT_INPUT_BYTE	0	4
utf16_big_endian	SJ-ENC-003	ENCODING_PREFLIGHT	CONFORMANCE	FEFF007B	spike_default	INVALID_UTF8	-	-	ABSENT	-	EXACT	EXACT_INPUT_BYTE	0	4
